season,home_team,away_team,home_score,away_score,home_win
2025,TEN,LAC,20,27,0
2025,TEN,SEA,24,30,0
2025,SF,TEN,37,24,1
2025,TEN,KC,26,9,1
2025,TEN,NO,26,34,0
2024,SEA,DEN,26,20,1
2024,TB,DEN,7,26,0
2024,DEN,LV,34,18,1
2024,DEN,LAC,16,23,0
2024,NO,DEN,10,33,0
2024,DEN,CAR,28,14,1
2024,KC,DEN,16,14,1
2024,DEN,ATL,38,6,1
2024,LV,DEN,19,29,0
2024,LAC,DEN,34,27,1
2024,DEN,KC,38,0,1
2025,LAC,DEN,23,20,1
2025,PHI,DEN,17,21,0
2025,DEN,NYG,33,32,1
2025,DEN,DAL,44,24,1
2025,DEN,LV,10,7,1
2025,DEN,KC,22,19,1
2025,WSH,DEN,26,27,0
2025,LV,DEN,17,24,0
2025,DEN,GB,34,26,1
2025,KC,DEN,13,20,0
2025,DEN,LAC,19,3,1
2024,ATL,KC,17,22,0
2024,LAC,KC,10,17,0
2024,KC,NO,26,13,1
2024,SF,KC,18,28,0
2024,LV,KC,20,27,0
2024,KC,TB,30,24,1
2024,CAR,KC,27,30,0
2024,KC,LV,19,17,1
2024,KC,LAC,19,17,1
2025,LAC,KC,27,21,1
2025,KC,PHI,17,20,0
2025,NYG,KC,9,22,0
2025,KC,DET,30,17,1
2025,KC,LV,31,0,1
2025,KC,WSH,28,7,1
2025,DAL,KC,31,28,1
2025,KC,LAC,13,16,0
2025,LV,KC,14,12,1
2024,LAC,LV,22,10,1
2024,LV,CAR,22,36,0
2024,LAR,LV,20,15,1
2024,TB,LV,28,13,1
2024,LV,ATL,9,15,0
2024,NO,LV,10,25,0
2024,LV,LAC,20,34,0
2025,LV,LAC,9,20,0
2025,WSH,LV,41,24,1
2025,LV,CHI,24,25,0
2025,LV,DAL,16,33,0
2025,LAC,LV,31,14,1
2025,PHI,LV,31,0,1
2025,LV,NYG,10,34,0
2024,CAR,LAC,3,26,0
2024,ARI,LAC,17,15,1
2024,LAC,NO,26,8,1
2024,ATL,LAC,13,17,0
2024,LAC,TB,17,40,0
2025,NYG,LAC,21,18,1
2025,LAC,WSH,10,27,0
2025,LAC,MIN,37,10,1
2025,LAC,PHI,22,19,1
2025,DAL,LAC,17,34,0
2024,DAL,NO,19,44,0
2024,NYG,DAL,15,20,0
2024,DAL,DET,9,47,0
2024,SF,DAL,30,24,1
2024,ATL,DAL,27,21,1
2024,DAL,PHI,6,34,0
2024,WSH,DAL,26,34,0
2024,DAL,NYG,27,20,1
2024,CAR,DAL,14,30,0
2024,DAL,TB,26,24,1
2024,PHI,DAL,41,7,1
2024,DAL,WSH,19,23,0
